name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Dina Lorentzen,F,SBD,17.5,69.22,72,132.5,77.5,167.5,377.5,2017-09-02
Sara Svanes,F,SBD,21.5,81.92,84,150.0,95.0,140.0,385.0,2017-09-02
Kristoffer Alnes Reite,M,SBD,22.5,102.53,105,235.0,180.0,220.0,635.0,2017-09-02
Christoffer Nygård,M,SBD,21.5,117.62,120,215.0,132.5,245.0,592.5,2017-09-02
Selma Karoline Matilde Ramberg,F,SBD,17.5,51.84,52,125.0,90.0,140.5,355.5,2019-09-13
Juliane Slettnes,F,SBD,18.0,62.28,63,140.0,77.5,152.5,370.0,2019-09-13
Yasmina Juliette Havnen,F,SBD,16.0,66.14,72,125.0,67.5,150.0,342.5,2019-09-13
Sofie Horne,F,SBD,17.5,79.04,84,150.0,85.0,180.0,415.0,2019-09-13
Irina Melkild,F,SBD,21.5,50.55,52,110.0,77.5,122.5,310.0,2019-09-13
Camilla Vik Nygård,F,SBD,19.5,51.42,52,110.0,70.0,122.5,302.5,2019-09-13
Mia Margrethe Ramberg Storstad,F,SBD,19.5,54.06,57,117.5,82.5,125.0,325.0,2019-09-13
Daniel Andersen Nilsen,M,SBD,17.5,52.73,53,150.0,90.0,167.5,407.5,2019-09-13
Lars Engø-Monsen,M,SBD,16.5,72.91,74,205.0,152.5,235.0,592.5,2019-09-13
Simen Johnson Myrvold,M,SBD,19.0,73.54,74,210.0,165.0,237.5,612.5,2019-09-13
Johannes Kristensen,M,SBD,21.5,82.47,83,245.0,155.0,275.0,675.0,2019-09-13
Thomas Lillejord,M,SBD,20.5,82.63,83,190.0,160.0,250.0,600.0,2019-09-13
Joel Immanuel Vikesland,M,SBD,21.5,92.49,93,237.5,157.5,322.5,717.5,2019-09-13
Jacob Florelius,M,SBD,20.5,92.98,93,242.5,177.5,262.5,682.5,2019-09-13
Damian Steinke,M,SBD,21.5,104.21,105,267.5,165.0,310.0,742.5,2019-09-13
Espen Kolltveit,M,SBD,22.5,102.99,105,220.0,165.0,295.0,680.0,2019-09-13
Helge Hansen,M,SBD,36.5,90.6,93,230.0,145.0,270.0,645.0,2016-12-17
Ingvild Hansen,F,SBD,21.0,62.4,63,92.5,70.0,122.5,285.0,2015-05-27
Carl Yngvar Christensen,M,SBD,28.5,117.4,120,180.0,177.5,220.0,577.5,2019-08-24
Georg Øksendal,M,SBD,45.5,125.9,120+,240.0,180.0,250.0,670.0,2019-08-24
Finn Bjerk,M,SBD,65.0,93.6,105,140.0,115.0,160.0,415.0,2014-08-23
Maria Letnes,F,SBD,22.5,70.7,72,140.0,100.5,170.0,410.5,2014-09-27
Kristina Grimstad Nordstrand,F,SBD,35.5,80.4,84,95.0,55.0,125.0,275.0,2014-09-27
Gro-Berit Stavheim,F,SBD,49.5,71.4,72,113.0,66.0,143.0,322.0,2014-09-27
Erik Røen,M,SBD,17.5,120.6,120+,207.5,147.5,262.5,617.5,2014-09-27
Ralf A. Male,M,SBD,20.0,88.1,93,172.5,160.0,185.0,517.5,2014-09-27
Jan-Erik Christiansen,M,SBD,47.0,64.2,66,120.0,110.0,135.0,365.0,2015-09-23
Lars Dalby Markussen,M,SBD,40.5,113.0,120,270.0,170.0,287.5,727.5,2015-09-23
Ingeborg Gjone,F,SBD,57.5,55.6,57,90.0,50.0,120.0,260.0,2019-06-15
Kristine Andersen,F,SBD,21.5,81.0,84,115.0,77.5,150.0,342.5,2012-12-15
Truls Moe,M,SBD,23.5,96.2,105,190.0,160.0,230.0,580.0,2012-12-15
Sunniva Nordskog,F,SBD,25.5,61.6,63,80.0,55.0,95.0,230.0,2012-04-13
Linn Hèlen Solbakken Fjeld,F,SBD,24.5,62.2,63,110.0,80.0,135.0,325.0,2017-06-17
Sven Jøran Haugen,M,SBD,50.5,112.1,120,150.0,150.0,170.0,470.0,2012-06-06
Elisabeth Sletten,F,SBD,21.5,56.4,57,75.0,70.0,130.0,275.0,2017-02-10
Jøran Langset,M,SBD,44.5,77.74,83,223.0,127.5,240.0,590.5,2022-08-27
Oddbjørn Viken,M,SBD,60.5,99.85,105,170.0,120.0,200.0,490.0,2022-08-27
Ingeborg Gjone,F,SBD,59.5,54.14,57,82.5,55.0,117.5,255.0,2021-07-10
Terje Myrvold,M,SBD,53.5,73.59,74,135.0,105.0,170.0,410.0,2021-07-10
Heidi Ottesen Solberg,F,SBD,43.5,56.2,57,95.0,60.0,125.0,280.0,2018-09-08
Isabell Adolfsen,F,SBD,16.5,64.05,72,122.5,67.5,150.0,340.0,2016-12-17
Linn Hèlen Solbakken Fjeld,F,SBD,23.5,62.3,63,100.0,77.5,130.0,307.5,2016-12-17
Ruben Hoffman Gjelsnes,M,SBD,44.5,98.99,105,230.0,140.0,250.0,620.0,2018-09-01
Raymond Andersen,M,SBD,50.5,117.2,120,225.0,185.0,220.0,630.0,2018-09-01
Selma Karoline Matilde Ramberg,F,SBD,15.5,51.35,52,80.0,55.0,82.5,217.5,2017-03-12
Katrine Nystad Kvitvær,F,SBD,22.5,56.67,57,100.0,60.0,120.0,280.0,2017-03-12
Hege Berntsen,F,SBD,48.5,73.6,84,110.0,47.5,140.0,297.5,2017-08-26
Vebjørn Brastad,M,SBD,46.5,89.5,93,155.0,112.5,185.0,452.5,2017-08-26
Isabel Carina Nakken Cloin,F,SBD,28.5,82.8,84,150.0,80.0,170.0,400.0,2017-01-23
Germe Wimpaye,M,SBD,20.5,80.8,83,190.0,120.0,235.0,545.0,2017-04-03
Linda Kristensen,F,SBD,34.5,70.85,72,120.0,90.0,135.0,345.0,2012-04-11
Silvia Kapstad,F,SBD,17.5,69.6,72,121.0,80.0,162.5,363.5,2014-09-06
Hilde Mikkelsen Haugen,F,SBD,22.5,55.3,57,115.0,47.5,107.5,270.0,2014-09-06
Ruth Sandbak Berge,F,SBD,18.5,60.2,63,100.0,47.5,125.0,272.5,2014-09-06
Inger-Lene Sunnarvik,F,SBD,21.5,69.7,72,135.0,92.5,155.0,382.5,2014-09-06
Tutta Kristine Hanssen,F,SBD,24.5,61.8,63,137.5,90.0,157.5,385.0,2014-09-06
Sunniva Nordskog,F,SBD,27.5,60.9,63,107.5,75.0,150.0,332.5,2014-09-06
Monica S. Rasmussen,F,SBD,41.5,56.15,57,100.0,60.0,140.0,300.0,2014-09-06
Lars S. Kirkebøen,M,SBD,31.5,157.7,120+,307.5,170.0,340.0,817.5,2014-09-06
Bjarne Havnen,M,SBD,45.5,123.0,120+,190.0,160.0,200.0,550.0,2014-09-06
Sigve Valentinsen,M,SBD,53.5,86.45,93,215.0,158.0,242.5,615.5,2014-09-06
Malin Narum Kvamsdal,F,SBD,27.5,46.37,47,110.0,72.5,141.5,324.0,2022-03-25
Sakar Hamawandi,F,SBD,31.5,46.99,47,97.5,79.0,141.0,317.5,2022-03-25
Karen Hesthammer,F,SBD,27.5,51.64,52,138.0,85.0,159.0,382.0,2022-03-25
Julie Fosseide,F,SBD,29.5,51.87,52,132.5,82.5,158.5,373.5,2022-03-25
Katrine Sundal Haune,F,SBD,26.5,56.49,57,142.5,92.5,160.0,395.0,2022-03-25
Gina Bakke Bolstad,F,SBD,30.5,62.46,63,162.5,92.5,165.0,420.0,2022-03-25
Sunniva Nordskog,F,SBD,35.5,62.39,63,137.5,102.5,165.0,405.0,2022-03-25
Frida Aung,F,SBD,24.5,61.19,63,142.5,90.0,162.5,395.0,2022-03-25
Anna Nafisa Hjelle Skjenken,F,SBD,23.5,61.79,63,135.0,92.5,162.5,390.0,2022-03-25
Frida Austigard Petersen,F,SBD,24.5,63.0,63,142.5,80.0,162.5,385.0,2022-03-25
Elise Rosenborg,F,SBD,28.5,61.78,63,120.0,110.0,150.0,380.0,2022-03-25
Marte Kjenner,F,SBD,32.5,68.86,69,195.0,122.5,225.0,542.5,2022-03-25
Signe Elisabeth Belden,F,SBD,38.5,68.16,69,165.0,110.0,185.0,460.0,2022-03-25
Jorill Nese,F,SBD,23.5,67.94,69,170.0,102.5,180.0,452.5,2022-03-25
Juliane Slettnes,F,SBD,20.5,68.57,69,175.0,97.5,180.0,452.5,2022-03-25
Ingvild Hansen,F,SBD,27.5,67.79,69,135.0,97.5,155.0,387.5,2022-03-25
Sarah Nilsen Evensen,F,SBD,26.5,68.09,69,120.0,95.0,160.0,375.0,2022-03-25
Kirsti Løken,F,SBD,67.5,68.45,69,110.0,67.5,142.5,320.0,2022-03-25
Stine Hamre,F,SBD,26.5,75.61,76,180.0,105.0,190.0,475.0,2022-03-25
Anita Camilla Bratland,F,SBD,32.5,75.03,76,155.0,107.5,172.5,435.0,2022-03-25
Karen Tvedt,F,SBD,45.0,75.28,76,165.0,90.0,177.5,432.5,2022-03-25
Camilla Hatlem,F,SBD,23.5,74.23,76,147.5,100.0,172.5,420.0,2022-03-25
Guro Bøe,F,SBD,43.5,75.21,76,142.5,85.0,180.0,407.5,2022-03-25
Jenny Heyerdahl Bryhni,F,SBD,28.5,83.44,84,198.0,110.0,195.0,503.0,2022-03-25
Mina Holmefjord,F,SBD,18.5,82.46,84,160.0,102.5,172.5,435.0,2022-03-25
Isabel Carina Nakken Cloin,F,SBD,33.5,103.44,84+,205.0,112.5,227.5,545.0,2022-03-25
Johannes Kristensen,M,SBD,24.5,82.8,83,280.0,180.0,290.0,750.0,2022-03-25
Trygve Sletten,M,SBD,28.5,82.66,83,250.0,165.0,315.0,730.0,2022-03-25
Anders Joakim Halland,M,SBD,29.5,82.76,83,267.5,155.0,277.5,700.0,2022-03-25
Magnus Varpen Langleite,M,SBD,24.5,81.91,83,212.5,182.5,252.5,647.5,2022-03-25
Benjamin Rastum,M,SBD,22.5,92.88,93,275.0,175.0,275.0,725.0,2022-03-25
Helge Hansen,M,SBD,42.5,91.52,93,262.5,167.5,285.0,715.0,2022-03-25
Isak Asperud,M,SBD,19.5,86.25,93,257.5,185.0,265.0,707.5,2022-03-25
Jarle Bjørgo Onarheim,M,SBD,29.5,92.9,93,235.0,206.0,250.0,691.0,2022-03-25
Per Jørgen Gundersen,M,SBD,23.5,92.4,93,257.5,162.5,260.0,680.0,2022-03-25
Alexander Kleivene,M,SBD,25.5,92.19,93,240.0,150.0,270.0,660.0,2022-03-25
Toni Johannessen Amengual,M,SBD,29.5,103.43,105,300.0,202.5,343.0,845.5,2022-03-25
Torben H. Strømsvik,M,SBD,29.5,104.52,105,262.5,202.5,317.5,782.5,2022-03-25
Joel Immanuel Vikesland,M,SBD,24.5,104.62,105,262.5,187.5,325.0,775.0,2022-03-25
Kristian Hansen Bruvik,M,SBD,27.5,104.6,105,267.5,157.5,305.0,730.0,2022-03-25
Håkon Berge Berntsen,M,SBD,22.5,103.89,105,245.0,170.0,262.5,677.5,2022-03-25
Fredrik Hoff Saltvik,M,SBD,19.5,101.53,105,227.5,115.0,255.0,597.5,2022-03-25
Truls Moe,M,SBD,33.5,107.07,120,290.0,185.0,292.5,767.5,2022-03-25
Geir Øyvind Thorsen,M,SBD,35.5,105.25,120,300.0,180.0,285.0,765.0,2022-03-25
Ørjan Leirheim,M,SBD,46.5,135.89,120+,270.0,202.5,277.5,750.0,2022-03-25
Eilen Pollen,F,SBD,35.5,82.9,84,135.0,87.5,160.0,382.5,2017-11-18
Truls Moe,M,SBD,30.5,104.7,105,280.0,175.0,310.0,765.0,2019-12-14
Bengt Eide-Olsen,M,SBD,50.5,98.1,105,165.0,135.0,200.0,500.0,2012-08-07
Lars S. Kirkebøen,M,SBD,29.5,155.9,120+,290.0,185.0,340.0,815.0,2012-05-05
Karianne Skjelbred,F,SBD,46.5,71.1,76,117.5,65.0,160.0,342.5,2022-01-22
Gro-Berit Stavheim,F,SBD,57.5,73.24,76,115.0,72.5,140.0,327.5,2022-03-18
Nikita Alslie,F,SBD,15.5,65.3,72,120.0,70.0,140.0,330.0,2016-11-19
Terje Myrvold,M,SBD,48.5,76.6,83,110.0,105.0,150.0,365.0,2016-11-19
Linda Zahl Pedersen,F,SBD,23.5,75.65,84,145.0,75.0,165.0,385.0,2019-12-14
Kasper Høiland Andersen,M,SBD,18.5,82.7,83,200.0,135.0,230.0,565.0,2019-12-14
Marton Hodnefjell,M,SBD,23.5,82.5,83,180.0,140.0,230.0,550.0,2019-12-14
Tarald Knudsen Øvrebø,M,SBD,23.5,105.0,105,270.0,160.0,300.0,730.0,2019-12-14
Alastair McColl,M,SBD,37.5,140.6,120+,282.5,210.0,290.0,782.5,2019-12-14
Andre Sørlie Nilsen,M,SBD,16.5,81.3,83,180.0,112.5,190.0,482.5,2016-09-03
Jøran Langset,M,SBD,38.5,73.65,74,207.5,127.5,240.0,575.0,2016-09-03
Henrik Jensvold,M,SBD,20.5,118.0,120,245.0,180.0,275.0,700.0,2015-12-06
Erik Røen,M,SBD,18.5,127.5,120+,255.0,157.5,285.0,697.5,2015-12-06
Rita Pernille Bråthen,F,SBD,52.5,90.98,84+,120.0,72.5,160.0,352.5,2021-06-12
Inger Blikra,F,SBD,59.5,85.98,84+,120.0,100.0,155.0,375.0,2021-06-12
Tove Michalsen,F,SBD,61.5,86.89,84+,112.5,55.0,125.0,292.5,2021-06-12
Erik Røen,M,SBD,19.5,129.1,120+,265.0,167.5,282.5,715.0,2016-03-12
Germe Wimpaye,M,SBD,22.5,81.0,83,172.5,120.0,250.0,542.5,2019-02-25
Germe Wimpaye,M,SBD,23.5,82.3,83,190.0,125.0,262.5,577.5,2020-03-04
Trond Borgli,M,SBD,41.5,91.9,93,202.5,155.0,210.0,567.5,2020-03-04
Julie Fosseide,F,SBD,29.5,56.89,57,132.5,80.0,155.0,367.5,2022-12-10
Marie Bergo,F,SBD,32.0,56.02,57,105.0,60.0,132.5,297.5,2022-12-10
Fredrik Hoff Saltvik,M,SBD,19.5,106.44,120,220.0,115.0,255.0,590.0,2022-12-10
Torben H. Strømsvik,M,SBD,30.0,104.99,105,275.0,200.0,330.0,805.0,2022-12-10
Selma Karoline Matilde Ramberg,F,SBD,17.5,52.35,57,120.0,85.0,122.5,327.5,2019-03-16
Irina Melkild,F,SBD,21.5,50.65,52,107.5,77.5,120.0,305.0,2019-03-16
Katrine Nystad Kvitvær,F,SBD,24.5,62.85,63,120.0,75.0,150.0,345.0,2019-03-16
Camilla Vik Nygård,F,SBD,18.5,50.42,52,107.5,65.0,122.5,295.0,2018-06-22
Germe Wimpaye,M,SBD,19.5,79.7,83,172.5,115.0,200.0,487.5,2016-12-09
Jenny Heyerdahl Bryhni,F,SBD,23.5,75.7,84,142.5,75.0,147.5,365.0,2017-03-18
Jane Kvelland Berntsen,F,SBD,47.5,56.8,57,87.5,50.0,105.0,242.5,2017-03-18
Sindre Mobraaten,M,SBD,21.5,89.0,93,195.0,145.0,250.0,590.0,2017-03-18
Juliane Slettnes,F,SBD,17.0,61.86,63,112.5,67.5,132.5,312.5,2018-06-02
Tuva Lierhagen,F,SBD,15.0,90.61,84+,85.0,67.5,125.0,277.5,2018-06-02
Jenny Marie Johansen,F,SBD,29.0,62.26,63,135.0,90.0,173.0,398.0,2018-06-02
Kamilla Kolvig,F,SBD,28.5,62.4,63,132.5,72.5,173.5,378.5,2018-06-02
Elise Rosenborg,F,SBD,25.0,62.16,63,117.5,100.0,137.5,355.0,2018-06-02
Eilen Pollen,F,SBD,36.5,81.18,84,150.0,90.0,160.0,400.0,2018-06-02
Kirsti Løken,F,SBD,63.5,62.26,63,105.0,50.0,127.5,282.5,2018-06-02
Bjørn Andre S. Westbye,M,SBD,16.5,119.28,120,260.5,130.0,265.0,655.5,2018-06-02
Germe Wimpaye,M,SBD,21.5,76.88,83,187.5,120.0,235.0,542.5,2018-06-02
Joel Immanuel Vikesland,M,SBD,20.5,93.2,105,215.0,150.0,280.0,645.0,2018-06-02
Sigurd Kjelvik Berg,M,SBD,23.5,73.2,74,212.5,125.0,250.0,587.5,2018-06-02
Erik Elvsvingen,M,SBD,27.5,92.3,93,255.0,167.5,280.0,702.5,2018-06-02
Riad Sollien,M,SBD,47.5,134.05,120+,202.5,155.0,270.0,627.5,2018-06-02
Roger Eriksen,M,SBD,58.0,104.31,105,202.5,165.0,255.0,622.5,2018-06-02
Raymond Andersen,M,SBD,50.5,116.03,120,230.0,180.0,195.0,605.0,2018-06-02
Sunniva Nordskog,F,SBD,31.5,61.83,63,132.5,95.0,160.0,387.5,2018-06-02
Lars Midtbø,M,SBD,61.5,65.63,66,95.0,90.5,120.0,305.5,2018-06-02
Sondre Granheim,M,SBD,20.5,82.5,83,160.0,152.5,205.0,517.5,2014-12-13
Georg Øksendal,M,SBD,41.5,123.71,120+,200.0,190.0,230.0,620.0,2015-10-24
Heidi Sighovd,F,SBD,47.5,71.35,72,107.5,60.0,115.0,282.5,2019-03-09
Sigurd Kjelvik Berg,M,SBD,24.5,73.35,74,220.0,130.0,255.0,605.0,2019-03-09
Vebjørn Brastad,M,SBD,48.5,86.1,93,160.0,102.5,190.0,452.5,2019-03-09
Kine Helene Fossbakk,F,SBD,23.5,91.05,84+,150.0,92.5,160.0,402.5,2018-03-12
Malin Narum Kvamsdal,F,SBD,26.5,49.0,52,110.0,75.0,140.0,325.0,2021-07-10
Gina Bakke Bolstad,F,SBD,29.5,57.0,57,165.0,90.0,162.5,417.5,2021-07-10
Anita Camilla Bratland,F,SBD,31.5,75.5,76,150.0,110.0,170.0,430.0,2021-07-10
Benjamin Rastum,M,SBD,21.5,93.0,93,275.0,165.0,280.0,720.0,2021-07-10
Camilla Hatlem,F,SBD,22.5,74.9,76,142.5,92.5,152.5,387.5,2021-09-25
Anita Camilla Bratland,F,SBD,28.5,68.9,72,132.5,85.0,147.5,365.0,2018-12-15
Sebastian Bruvik,M,SBD,18.0,65.8,66,200.0,115.0,215.0,530.0,2018-12-15
Emma Elise Aas,F,SBD,15.5,50.38,52,80.0,40.0,122.5,242.5,2019-06-15
Hege Berge,F,SBD,36.5,61.01,63,120.0,70.0,137.5,327.5,2019-06-15
Lene Thorén,F,SBD,38.5,125.9,84+,200.0,92.5,170.0,462.5,2019-06-15
Heidi Ottesen Solberg,F,SBD,44.5,56.38,57,100.0,62.5,130.0,292.5,2019-06-15
Tuva Lierhagen,F,SBD,18.0,81.63,84,130.0,87.5,155.0,372.5,2021-08-21
Nora Kristin Larsen,F,SBD,19.5,77.43,84,120.0,97.5,152.5,370.0,2021-08-21
Sakar Hamawandi,F,SBD,31.0,46.86,47,80.0,70.0,130.0,280.0,2021-08-21
Kamilla Kolvig,F,SBD,31.5,68.09,69,130.0,70.0,177.5,377.5,2021-08-21
Sarah Nilsen Evensen,F,SBD,25.5,68.43,69,120.0,100.0,152.5,372.5,2021-08-21
Heidi Hille Arnesen,F,SBD,51.0,84.5,84+,167.5,95.0,192.5,455.0,2021-08-21
Lene Alexandra Øien,F,SBD,40.0,56.9,57,90.0,70.0,107.5,267.5,2021-08-21
Solveig Mehlum Teppen,F,SBD,45.5,59.2,63,95.0,67.5,140.0,302.5,2021-08-21
Guro Bøe,F,SBD,42.5,73.63,76,145.5,77.5,177.5,400.5,2021-08-21
Ann Kristin Olsen,F,SBD,53.5,56.6,57,95.0,77.5,110.0,282.5,2021-08-21
Kirsti Løken,F,SBD,66.5,68.3,69,107.5,62.5,136.5,306.5,2021-08-21
Charito A Kløvstad,F,SBD,70.0,53.4,57,75.0,37.5,112.5,225.0,2021-08-21
Joakim Eriksson Aas,M,SBD,17.5,90.65,93,185.0,135.0,222.5,542.5,2021-08-21
Erlend Kristensen,M,SBD,21.0,91.7,93,232.5,172.5,267.5,672.5,2021-08-21
Fredrik Hoff Saltvik,M,SBD,18.5,103.95,105,225.0,120.0,255.0,600.0,2021-08-21
Kristian Eek Haugen,M,SBD,20.0,127.5,120+,265.0,196.0,275.0,736.0,2021-08-21
Sigurd Kjelvik Berg,M,SBD,26.5,82.72,83,227.5,127.5,255.0,610.0,2021-08-21
Germe Wimpaye,M,SBD,24.5,83.24,93,205.0,125.0,272.5,602.5,2021-08-21
Trond Borgli,M,SBD,42.5,92.25,93,180.0,183.0,200.0,563.0,2021-08-21
Geir Ottar Olsen,M,SBD,55.5,82.2,83,180.0,120.0,242.5,542.5,2021-08-21
Raymond Andersen,M,SBD,53.5,115.4,120,235.0,180.0,215.0,630.0,2021-08-21
Riad Sollien,M,SBD,50.5,130.0,120+,210.0,147.5,270.0,627.5,2021-08-21
Raymond Andersen,M,SBD,55.5,100.5,105,215.0,150.0,210.0,575.0,2023-06-14
Fredrik Ingebrigtsen,M,SBD,20.5,88.2,90,200.0,175.0,242.5,617.5,2010-11-20
Mats Daniel Skrede,M,SBD,20.0,122.7,125,240.0,162.5,282.5,685.0,2010-11-20
Marthine Myhr,F,SBD,16.0,64.9,72,87.5,77.5,125.0,290.0,2015-12-12
Kim Eikefet,F,SBD,41.5,83.3,84,80.0,60.0,115.0,255.0,2015-12-12
Mats Daniel Skrede,M,SBD,25.0,109.6,120,260.0,132.5,280.0,672.5,2015-12-12
Torgeir Skoge,M,SBD,41.5,104.6,105,205.0,145.0,205.0,555.0,2015-12-12
Helge Sviland,M,SBD,40.5,91.8,93,185.0,155.0,225.0,565.0,2016-12-17
Martine Svinnset Pedersen,F,SBD,17.5,61.4,63,110.0,65.0,142.5,317.5,2020-02-22
Mia Margrethe Ramberg Storstad,F,SBD,20.5,56.65,57,125.0,87.5,132.5,345.0,2020-02-22
Sondre Engkvist,M,SBD,24.5,110.92,120,260.0,172.5,292.5,725.0,2020-02-22
Guro Bøe,F,SBD,41.5,71.8,72,110.0,67.5,165.0,342.5,2020-01-25
Heidi Sighovd,F,SBD,48.5,75.9,84,112.5,62.5,120.0,295.0,2020-01-25
Isak Asperud,M,SBD,17.5,78.8,83,202.5,147.5,205.0,555.0,2020-01-25
Fredrik Hoff Saltvik,M,SBD,17.5,91.9,93,195.0,95.0,250.0,540.0,2020-01-25
Vebjørn Brastad,M,SBD,49.5,85.0,93,145.0,105.0,190.0,440.0,2020-01-25
Tuva Lierhagen,F,SBD,15.0,88.0,84+,95.0,65.0,122.5,282.5,2018-06-16
Vetle Skundberg,M,SBD,18.0,65.7,66,100.0,105.0,102.5,307.5,2018-06-16
Vidar Johansen,M,SBD,52.5,110.5,120,252.5,170.0,260.0,682.5,2017-01-27
Even Bless Liland,M,SBD,30.5,92.8,93,220.0,170.0,275.0,665.0,2022-09-24
Kamilla Kolvig,F,SBD,25.5,62.4,63,135.0,67.5,177.5,380.0,2015-12-12
Rebekka Tao Jacobsen,F,SBD,17.5,51.2,52,97.5,50.0,100.0,247.5,2014-03-28
Lena Sjøl,F,SBD,16.5,53.7,57,87.5,65.0,130.0,282.5,2014-03-28
Silvia Kapstad,F,SBD,17.5,69.9,72,112.5,72.5,150.0,335.0,2014-03-28
Inger-Lene Sunnarvik,F,SBD,21.5,70.0,72,120.0,80.0,150.0,350.0,2014-03-28
Annemari Løberg Larsen,F,SBD,21.5,72.3,84,110.0,55.0,140.0,305.0,2014-03-28
Norunn Nielsen Holmvik,F,SBD,30.5,55.0,57,105.0,50.0,115.0,270.0,2014-03-28
Marini Jacobsen,F,SBD,34.5,61.3,63,105.0,55.0,135.0,295.0,2014-03-28
Monica S. Rasmussen,F,SBD,41.5,54.9,57,110.0,55.0,138.5,303.5,2014-03-28
Inger Hedvig Bryn,F,SBD,41.5,69.1,72,102.5,65.0,117.5,285.0,2014-03-28
Gro-Berit Stavheim,F,SBD,49.5,71.9,72,112.5,65.5,142.5,320.5,2014-03-28
Marit Pettersen,F,SBD,59.5,89.2,84+,70.0,50.0,120.0,240.0,2014-03-28
Simon Bråthe Johansen,M,SBD,19.5,73.5,74,185.0,110.0,212.5,507.5,2014-03-28
Tarald Knudsen Øvrebø,M,SBD,18.5,83.0,83,210.0,125.0,230.0,565.0,2014-03-28
Fredrik Våge Hovland,M,SBD,20.5,82.4,83,185.0,127.5,230.0,542.5,2014-03-28
Håkon Danielsen,M,SBD,20.5,76.5,83,180.0,125.0,215.0,520.0,2014-03-28
Aksel Stavheim,M,SBD,18.5,92.1,93,200.0,152.5,217.5,570.0,2014-03-28
Andreas Sebastian Sundquist,M,SBD,19.5,91.9,93,202.5,130.0,225.0,557.5,2014-03-28
Yngve Hopen,M,SBD,29.5,64.8,66,142.5,95.0,215.0,452.5,2014-03-28
Jøran Langset,M,SBD,36.5,73.1,74,216.0,140.0,252.5,608.5,2014-03-28
Kim Andre Blikås,M,SBD,23.5,92.8,93,230.0,177.5,305.0,712.5,2014-03-28
Kristian Fatland,M,SBD,23.5,92.5,93,215.0,140.0,257.5,612.5,2014-03-28
Truls Moe,M,SBD,25.5,100.5,105,202.5,157.5,252.5,612.5,2014-03-28
Martin Borgland Rønning,M,SBD,29.5,163.5,120+,325.0,235.0,320.0,880.0,2014-03-28
Jan-Roger Johansen,M,SBD,46.5,103.3,105,270.0,145.0,277.5,692.5,2014-03-28
Harald Morten Haug,M,SBD,44.5,104.9,105,207.5,162.5,255.0,625.0,2014-03-28
Tor-Egil Skogly,M,SBD,49.5,75.9,83,170.0,130.0,257.5,557.5,2014-03-28
Børre Borgersen,M,SBD,50.5,91.3,93,155.0,157.5,160.0,472.5,2014-03-28
Leif J. Lillegård,M,SBD,63.5,98.4,105,206.0,135.5,230.0,571.5,2014-03-28
Espen Narum,M,SBD,28.5,92.5,93,190.0,177.5,245.0,612.5,2018-09-21
Julie Fosseide,F,SBD,19.5,53.9,57,70.0,47.5,100.0,217.5,2012-10-06
Ruth Sandbak Berge,F,SBD,18.5,59.4,63,80.0,40.0,102.5,222.5,2014-03-15
Monica S. Rasmussen,F,SBD,41.5,55.8,57,112.5,55.0,135.0,302.5,2014-03-15
Germe Wimpaye,M,SBD,22.5,80.2,83,200.0,127.5,262.5,590.0,2019-12-22
Isabel Carina Nakken Cloin,F,SBD,33.5,105.7,84+,170.0,105.0,170.0,445.0,2022-01-25
Sebastian Bruvik,M,SBD,21.5,81.0,83,255.0,150.0,265.0,670.0,2022-01-25
Even Bless Liland,M,SBD,20.5,115.3,120,175.0,140.0,250.0,565.0,2012-10-25
Anne Hellem,F,SBD,52.5,72.5,84,55.0,45.0,110.0,210.0,2014-11-04
Ole Andreas Ådnanes,M,SBD,47.5,81.7,83,170.0,130.0,160.0,460.0,2020-12-19
Helge Sviland,M,SBD,44.5,90.15,93,170.0,142.5,210.0,522.5,2020-12-19
Karen Hesthammer,F,SBD,17.5,46.3,47,87.5,50.0,85.0,222.5,2012-06-16
Bjørn Andreas Bull-Hansen,M,SBD,39.5,104.35,105,240.0,180.0,300.5,720.5,2012-11-16
Bård Arve Havnerås,M,SBD,49.5,115.1,120,160.0,160.0,210.0,530.0,2012-11-16
Helge Hansen,M,SBD,38.5,92.1,93,245.0,155.0,275.0,675.0,2018-07-16
Jane Kvelland Berntsen,F,SBD,49.5,57.6,63,102.5,62.5,130.0,295.0,2019-01-19
Mats Høylo Kjøllesdal,M,SBD,17.5,102.9,105,210.0,150.0,220.0,580.0,2019-01-19
Bjørn Flem,M,SBD,47.5,104.25,105,200.0,165.0,205.0,570.0,2012-06-16
Marthine Myhr,F,SBD,15.5,60.8,63,75.0,60.0,105.0,240.0,2015-02-14
Monica S. Rasmussen,F,SBD,42.5,56.5,57,122.5,55.0,142.5,320.0,2015-02-14
Anne Hellem,F,SBD,53.5,75.0,84,65.0,50.0,122.5,237.5,2015-02-14
Arve Rønnekleiv,M,SBD,45.5,103.3,105,160.0,112.5,235.0,507.5,2013-06-15
Christer B. Larsen,M,SBD,25.5,113.7,120,280.0,222.5,235.0,737.5,2012-02-11
Kamilla Kolvig,F,SBD,29.5,62.7,63,135.0,67.5,170.0,372.5,2019-02-16
Hege Berntsen,F,SBD,50.5,73.25,84,120.0,55.0,155.0,330.0,2019-02-16
John Søtorp,M,SBD,61.5,91.55,93,60.0,130.0,140.0,330.0,2019-02-16
