name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Tarald Knudsen Øvrebø,M,SBD,17.5,83.3,93,205.0,122.5,222.5,550.0,2013-12-07
Alastair McColl,M,SBD,31.5,133.4,120+,240.0,210.0,275.0,725.0,2013-12-07
Anja Wiggen Skancke,F,SBD,16.5,75.7,76,155.0,65.0,152.5,372.5,2022-06-18
Camilla Vik Nygård,F,SBD,17.5,51.3,52,107.5,60.0,122.5,290.0,2017-09-22
Marit Pettersen,F,SBD,59.5,89.65,84+,80.0,47.5,125.0,252.5,2014-04-12
Isabel Carina Nakken Cloin,F,SBD,28.5,83.7,84,165.0,82.5,192.5,440.0,2017-06-05
Lars Engø-Monsen,M,SBD,15.5,66.0,66,145.0,105.0,170.0,420.0,2018-01-19
Simen Johnson Myrvold,M,SBD,17.5,73.5,74,170.0,125.0,205.0,500.0,2018-01-19
Simon Bråthe Johansen,M,SBD,19.5,73.7,74,187.5,110.0,220.0,517.5,2014-12-20
Tove Michalsen,F,SBD,55.5,86.2,84+,97.5,57.5,125.0,280.0,2015-10-03
Stine Liverød,F,SBD,25.5,76.07,84,167.5,100.0,170.0,437.5,2018-02-24
Andre Sørlie Nilsen,M,SBD,18.5,91.2,93,227.5,135.0,242.5,605.0,2018-02-24
Oddbjørn Viken,M,SBD,56.5,95.39,105,160.0,112.5,175.0,447.5,2018-02-24
Bjarne Havnen,M,SBD,49.5,119.6,120,200.0,160.0,240.0,600.0,2018-02-24
Sandra Persson,F,SBD,22.5,71.75,72,140.0,75.0,177.5,392.5,2018-02-24
Annemari Løberg Larsen,F,SBD,25.5,71.94,72,167.5,72.5,207.5,447.5,2018-02-24
Sindre Mobraaten,M,SBD,22.5,82.15,83,220.0,140.0,250.0,610.0,2018-02-24
Kasper Høiland Andersen,M,SBD,17.5,81.15,83,190.0,125.0,215.0,530.0,2018-09-01
Marit Pettersen,F,SBD,59.5,91.6,84+,90.0,52.5,127.5,270.0,2014-06-14
Tone Ingebretsen,F,SBD,43.5,68.55,72,90.0,65.0,110.0,265.0,2011-09-07
Ingri Thingstad Storstad,F,SBD,23.5,56.96,57,115.0,70.0,145.0,330.0,2017-06-24
John Søtorp,M,SBD,59.5,91.87,93,70.0,130.0,150.0,350.0,2017-06-24
Solveig Mehlum Teppen,F,SBD,43.5,61.1,63,87.5,55.0,130.0,272.5,2019-11-27
Hege Berntsen,F,SBD,50.5,75.3,84,120.0,55.0,157.5,332.5,2019-11-27
Riad Sollien,M,SBD,48.5,146.0,120+,240.0,170.0,285.0,695.0,2019-11-27
Jim Ljungquist,M,SBD,55.5,119.1,120,170.0,180.0,200.0,550.0,2023-06-10
Hanne Hagen Rotnes,F,SBD,25.5,71.1,72,105.0,90.0,117.5,312.5,2015-12-05
Roger Eriksen,M,SBD,52.0,109.0,120,200.0,155.0,245.0,600.0,2012-12-08
